filename,centerpoints
synth_mixture_1.tif,gh;55.43;67.63;69.18;pp;77.27;65.34;19.37;ma;101.01;76.13;50.48;bc;49.42;23.93;68.67;cf;71.43;40.07;33.09;gh;54.05;23.07;25.78;ma;27.31;78.03;32.35;wo;100.79;41.24;37.42
synth_mixture_2.tif,bp;85.25;62.89;58.5;ac;55.82;66.07;70.46;bf;55.87;44.45;33.05;wo;104.29;16.67;59.47;ma;60.74;31.06;77.97;wo;27.2;61.17;16.4
synth_mixture_3.tif,bl;83.79;58.65;57.74;bc;52.62;65.41;67.78;ac;58.33;59.2;33.41;pp;84.46;31.13;27.77;bl;89.6;13.33;79.34;cf;71.95;17.11;35.67;wo;53.48;31.85;76.69;wo;13.42;25.38;38.99;bl;25.65;12.93;17.69;ma;103.33;16.4;12.32;wo;14.35;27.1;59.67
synth_mixture_4.tif,gh;56.37;66.39;67.75;pp;88.02;42.59;43.72;bl;96.93;17.98;75.35;ml;84.82;71.85;25.77;pp;51.74;17.76;60.94;pp;85.74;14.75;36.4;ma;96.51;17.71;13.85;wo;17.02;75.96;26.29;bp;36.79;29.21;16.81;ma;38.88;37.09;74.81;ma;48.27;14.27;40.67
synth_mixture_5.tif,pp;85.27;60.03;57.61;ac;55.19;69.24;65.81;bc;50.56;20.44;66.37;bf;53.07;52.78;26.73;wo;105.84;39.02;59.52;bp;86.93;15.18;31.76;bl;22.39;77.99;43.39;bp;33.16;15.78;15.46;bl;25.95;73.51;18.15
synth_mixture_6.tif,bl;81.88;60.13;59.16;bf;50.45;65.77;66.64;ac;52.41;67.62;40.92;bp;87.22;17.77;76.86
synth_mixture_7.tif,wo;90.28;59.78;59.51;bp;90.2;50.62;35.98;wo;59.06;71.84;78.78;wo;70.4;38.33;71.33;wo;87.92;78.17;34.83
synth_mixture_8.tif,sl;57.32;66.73;71.55;wo;98.38;52.83;75.74;bl;72.09;60.57;35.35;ac;54.5;20.4;22.19;bf;69.24;67.35;26.1;ml;78.42;18.37;76.35;wo;104.4;50.68;39.99;wo;24.12;26.95;79.55;bl;21.1;75.5;75.7;bl;24.06;78.56;9.69
synth_mixture_9.tif,sl;57.05;67.5;69.71;bp;87.81;57.98;40.84;bf;50.47;25.02;67.4;ma;70.71;73.69;28.77;ac;48.6;39.89;26.3;bl;99.76;9.31;28.03;ma;105.34;48.92;17.62;wo;31.13;78.04;28.3;bl;100.84;15.43;65.85;wo;21.36;36.78;12.52;wo;112.76;75.53;39.81
synth_mixture_10.tif,wo;76.41;68.66;62.65;bl;85.26;53.06;37.93;wo;78.4;57.86;17.06;sl;51.96;35.62;63.6;ma;25.24;52.46;43.8;cf;66.14;13.85;23.26;ma;27.72;76.63;78.62;bl;97.98;15.72;47.28;wo;102.18;35.42;19.47;bl;30.15;78.35;53.48;wo;31.91;14.53;29.27;wo;27.49;77.64;24.87;bl;92.0;13.12;74.78;wo;93.79;75.82;33.14;wo;110.56;80.81;79.42
synth_mixture_11.tif,bc;57.98;68.71;64.9;ma;96.96;45.65;63.85;sl;50.2;50.22;37.07;bp;75.08;27.77;74.05;pp;81.95;29.13;24.2;cf;69.59;14.67;50.93;wo;23.4;76.03;49.55;ma;28.72;15.63;78.62;cf;51.78;77.17;12.53;bl;24.15;75.27;74.75;wo;39.76;15.17;23.18;bl;109.09;44.14;13.28
synth_mixture_12.tif,sl;56.56;63.52;64.08;cf;74.08;58.58;27.76;bc;50.23;66.62;30.6;bl;69.88;23.9;78.26;bl;95.01;17.66;49.69;bc;57.18;22.98;23.03;ma;27.73;18.37;60.9;wo;102.25;74.03;76.83;ma;19.9;28.89;20.58
synth_mixture_13.tif,bc;49.09;63.17;69.19;cf;82.35;48.44;32.18;cf;72.19;13.87;57.92;cf;69.61;78.53;39.19;bl;39.94;27.66;19.73;wo;94.64;79.04;14.02;wo;41.62;77.25;13.12
synth_mixture_14.tif,gh;48.51;66.04;67.2;bl;91.9;41.89;52.9;cf;69.75;75.11;34.57;bp;84.65;24.19;73.65
synth_mixture_15.tif,bp;84.64;64.18;58.44;bp;85.98;77.1;37.88;bp;85.12;41.39;72.0;bc;51.62;37.4;49.96;cf;71.12;77.34;78.02;bp;84.73;13.83;77.32;pp;85.64;15.54;27.49;wo;26.7;69.86;19.95;ma;97.88;50.75;15.55;bl;43.03;39.09;15.31;wo;106.02;12.3;52.93
synth_mixture_16.tif,bp;79.48;62.42;60.4;ml;73.67;69.16;70.58;bl;68.37;49.79;36.8;ml;74.86;19.56;69.78;ml;71.19;65.51;21.82;bc;57.49;23.03;25.31;ma;31.72;53.09;48.1;ma;25.0;75.58;78.28;wo;112.76;60.53;75.81
synth_mixture_17.tif,bf;51.77;63.44;66.84;wo;92.78;43.39;52.39;bf;47.84;62.97;31.68;cf;71.26;13.63;56.58;bc;54.32;18.56;26.4;cf;37.14;24.55;77.14
synth_mixture_18.tif,bl;84.7;62.48;58.28;bp;85.55;62.47;41.81;sl;58.89;49.5;64.77;pp;86.72;14.96;31.29;bf;54.02;50.2;22.91;wo;57.52;18.52;46.59;cf;71.7;15.15;75.96;wo;23.27;77.06;17.25;bl;24.79;13.65;11.74;wo;17.93;22.51;78.89;ma;104.27;37.27;12.67
synth_mixture_19.tif,bl;88.09;59.57;63.99;bf;52.89;41.98;42.67;pp;82.36;77.23;75.15;ml;76.58;73.02;26.02;pp;84.54;47.25;76.17;ma;27.29;75.25;77.31;ma;46.68;31.44;74.67;bp;88.08;17.85;76.89
synth_mixture_20.tif,bc;53.92;67.87;65.32;ac;55.66;32.43;44.54;ma;84.91;28.3;77.67;bc;53.59;68.27;25.51;wo;97.8;14.71;54.89;cf;64.1;14.5;15.33;wo;16.44;27.43;22.86;pp;24.42;35.25;77.15;ma;98.8;31.17;15.61;ma;100.87;76.98;79.89;wo;110.14;13.29;76.71
synth_mixture_21.tif,wo;77.26;60.1;61.08;bf;56.39;70.36;65.6;bc;57.5;23.58;47.49;bc;49.7;65.98;33.36;ma;97.63;26.15;75.95
synth_mixture_22.tif,bp;89.71;62.95;59.67;pp;83.75;74.74;78.89;bf;52.02;49.26;57.17;ml;86.04;49.24;19.72;cf;67.72;12.24;62.05;ml;51.52;20.72;22.11;ma;27.61;67.41;33.44;ma;99.66;10.72;27.16;bl;21.07;79.36;15.71;wo;16.81;74.61;71.54
